code_insee;latitude;longitude
1344;46.211;5.185
1345;45.949;5.324
1346;46.307;5.058
1347;45.956;4.778
1348;46.184;4.816
1349;45.932;5.152
1350;46.275;5.284
1351;46.147;4.867
1352;46.403;5.006
1353;45.967;4.795
1354;46.254;6.036
1355;46.282;5.013
1356;46.104;5.03
1357;46.182;5.747
1358;45.771;5.618
1359;46.08;5.061
1360;46.218;5.942
1361;45.84;5.212
1362;45.96;4.899
1363;46.029;5.382
1364;46.397;5.063
1365;46.268;4.922
1366;45.882;5.284
1367;46.4;5.104
1368;46.202;4.959
1369;46.193;5.285
1370;46.305;4.84
1371;45.949;4.99
1372;45.848;5.679
1373;46.136;5.571
1374;46.106;5.326
1375;46.291;5.123
1376;45.834;4.977
1378;45.82;5.17
1379;45.953;5.271
1380;46.453;5.176
1381;46.053;5.142
1382;46.014;4.936
1383;46.096;5.128
1384;45.95;5.44
1385;46.185;5.168
1386;45.886;5.376
1387;46.321;5.042
1388;46.461;5.067
1389;46.062;4.902
1390;45.822;5.27
1391;46.364;5.347
1392;46.265;5.586
1393;46.066;4.983
1396;45.865;5.404
1397;46.313;6.11
1398;45.997;4.858
1399;46.294;6.073
1400;45.798;5.498
1401;46.263;5.989
1402;46.498;4.979
1403;45.813;5.441
1404;46.147;5.45
1405;46.139;5.179
1406;46.435;5.056
1407;45.948;5.826
1408;46.234;5.422
1410;46.223;5.506
1411;45.878;5.431
1412;46.174;4.958
1415;45.864;5.721
1416;45.923;5.514
1418;45.817;5.018
1419;46.244;5.965
1420;46.17;4.794
1421;45.921;5.404
1422;46.138;5.304
1423;45.96;4.829
1424;45.875;4.964
1425;46.097;5.261
1426;46.28;5.361
1427;45.941;4.771
1428;46.115;4.866
1429;46.218;5.082
1430;46.043;5.295
1431;45.92;5.364
1432;46.346;5.348
1433;46.485;5.106
1434;45.985;5.112
1435;46.3;6.101
1436;46.361;6.085
1437;46.474;5.026
1439;46.359;4.863
1441;46.085;5.549
1443;45.993;5.045
1444;45.849;5.447
1445;46.346;5.31
1446;46.032;4.852
1447;46.193;5.395
1448;46.095;5.757
1449;46.01;5.252
1450;45.932;5.23
1451;46.251;5.223
1452;45.846;5.64
1453;45.906;5.737
1454;45.727;5.713
1456;45.813;5.725
1457;46.217;4.997
2001;49.599;3.177
2002;49.694;3.397
2003;49.347;3.418
2004;49.717;3.96
2005;49.394;3.968
2006;49.93;3.511
2007;49.485;3.819
2008;49.438;3.512
2009;49.767;3.366
2010;49.462;3.454
2011;49.376;3.183
2012;49.322;3.404
2013;49.499;3.923
2014;49.611;3.303
2015;49.219;3.208
2016;49.641;3.37
2017;49.694;3.428
2018;49.504;3.431
2019;49.721;3.176
2020;49.882;4.224
2021;49.744;4.119
2022;49.255;3.478
2023;49.173;3.388
2024;49.499;3.765
2025;49.762;3.197
2027;49.68;3.555
2028;49.576;3.69
